Status,Phonetic,Word,Example,Audio_url,Study_count
1,[aɪ],idea,That sounds like a good idea.,url,0
1,[aʊ],down,Walk down the street and turn left.,url,0
1,[aʊ],how,How are you?,url,0
1,[aʊ],house,The house is made of wood.,url,0
1,[ɛr],dare,I dare not try it.,url,0
1,[ɛr],air,The air is fresh here.,url,0
1,[ɛr],careful,Be careful when you cross the street,url,0
1,[ɪr],here,There is a tree here.,url,0
1,[ɪə],idea,I have no idea where he is.,url,0
1,[iə],real,Tell me the real reason.,url,0
1,[p],put,Put the book on the desk.,url,0
1,[p],pass,Pass me the salt please.,url,0
1,[p],keep,Keep the change.,url,0
1,[b],boy,The boy loves his father very much.,url,0
1,[b],before,Look before you leap.,url,0
1,[b],robber,I hate robbers.,url,0
1,[t],take,Take the garbage with you when you leave.,url,0
1,[t],teacher,My teacher has a good command of English,url,0
1,[t],hit,Don't hit me.,url,0
1,[d],day,How many days are there in a week?,url,0
1,[d],under,Ted is hiding under the table.,url,0
1,[d],red,His car is red; mine is green.,url,0
1,[k],key,Where are my car keys?,url,0
1,[k],cake,We bought a cake for his birthday.,url,0
1,[k],book,He wrote a book on music.,url,0
1,[g],go,Let's go to the movies tonight.,url,0
1,[g],forget,Don't forget to mail this letter.,url,0
1,[g],dog,He keeps a dog as a pet.,url,0
1,[f],food,The food is tasty.,url,0
1,[f],left,Turn left and go straight ahead.,url,0
1,[f],wife,My wife cooks well.,url,0
1,[v],very,I feel very tired today.,url,0
1,[v],never,He never tells lies.,url,0
1,[v],give,Give me a kiss honey.,url,0
1,[θ],thank,Thank you very much for your help.,url,0
1,[θ],healthy,He jogs every day to stay healthy.,url,0
1,[θ],both,Both he and I are students.,url,0
1,[ð],that,This is good but that is bad.,url,0
1,[ð],father,His father and mother are coming this week,url,0
1,[ð],with,Nobody likes to work with him.,url,0
1,[s],see,See you later.,url,0
1,[s],ask,May I ask you a question?,url,0
1,[s],class,We don't have any class today.,url,0
1,[z],zebra,Have you seen a zebra before?,url,0
1,[z],busy,The line is busy.,url,0
1,[z],is,Is he free now?,url,0
1,[ʃ],ship,I see a ship there.,url,0
1,[ʃ],show,Could you show me the way to the station?,url,0
1,[ʃ],sure,I'm sure she can do that.,url,0
1,[ʒ],pleasure,It's a pleasure to meet you.,url,0
1,[ʒ],usual,He was late again as usual.,url,0
1,[ʒ],television,I seldom watch television.,url,0
1,[tʃ],church,He goes to church every Sunday.,url,0
1,[tʃ],chase,He does nothing but chase girls all day.,url,0
1,[tʃ],teach,Which class do you teach?,url,0
1,[dʒ],joke,He likes to tell jokes.,url,0
1,[dʒ],danger,The boy is in danger.,url,0
1,[dʒ],strange,His behavior is strange.,url,0
1,[m],me,Tell me the truth,url,0
1,[m],woman,She is a beautiful woman.,url,0
1,[m],time,What time is it now?,url,0
1,[n],name,May I have your name please?,url,0
1,[n],number,I forgot my phone number.,url,0
1,[n],son,My son is your fan.,url,0
1,[ŋ],bring,Bring me the book next time you come.,url,0
1,[ŋ],drink,Would you care for a drink?,url,0
1,[ŋ],think,What are you thinking?,url,0
1,[l],long,How long have you studied English?,url,0
1,[l],call,Call me when you are free.,url,0
1,[l],look,It looks like rain.,url,0
1,[r],read,Can you read this word?,url,0
1,[r],red,I like the red car over there.,url,0
1,[r],part,Part of the answer is right.,url,0
1,[j],you,You can do it can't you?,url,0
1,[j],yes,Yes I can.,url,0
1,[j],young,She is young and beautiful.,url,0
1,[h],he,He plays tennis very well.,url,0
1,[h],hat,Take off your hat please.,url,0
1,[h],hot,It's very hot today.,url,0
1,[w],wood,The table is made of wood.,url,0
1,[w],wind,The wind is strong today.,url,0
1,[w],work,I don't have any work to do.,url,0
